,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,15,12,3,3,57,58,53,89,102,26,21,7
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,1,5,0,2,58,51,44,93,107,37,30,10
LOC100132287,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133331,16,14,10,3,8,6,12,10,33,10,11,3
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288069,5,15,8,3,3,0,0,1,4,4,1,1
LINC00115,5,11,4,0,2,2,0,1,14,1,0,1
FAM41C,0,0,1,0,0,0,0,0,0,0,0,0
SAMD11,112,218,22,30,0,1,1,5,0,0,2,2
NOC2L,437,851,534,188,1002,995,1276,2402,4940,1235,1197,574
KLHL17,56,85,34,19,129,133,233,391,573,151,139,53
PLEKHN1,18,35,8,1,179,172,194,337,604,120,156,103
HES4,38,64,25,9,106,122,259,384,250,45,157,48
ISG15,39,123,58,13,69,70,129,205,951,299,1309,392
AGRN,1079,1791,411,306,3691,3508,3540,6865,19581,4349,5986,2497
RNF223,0,0,0,1,11,19,21,41,94,4,17,14
C1orf159,39,88,38,26,121,144,147,278,440,108,115,47
MIR200B,0,0,0,0,0,0,0,1,3,1,2,1
MIR200A,0,0,0,0,2,0,0,3,7,0,2,0
MIR429,0,0,0,0,1,1,1,2,8,0,4,0
TTLL10,0,0,0,0,0,0,0,0,0,1,0,1
TNFRSF18,0,0,0,0,2,3,4,4,15,1,6,1
TNFRSF4,0,0,0,0,0,0,0,0,1,0,0,0
SDF4,418,860,720,235,934,993,1488,2306,4711,1077,1400,643
B3GALT6,110,258,88,41,100,121,238,406,545,98,131,58
UBE2J2,129,238,129,60,279,303,415,783,1331,304,251,140
SCNN1D,24,37,11,6,12,7,10,12,36,11,12,6
ACAP3,100,180,48,25,423,415,608,1095,1454,298,540,227
PUSL1,33,82,11,18,156,167,198,349,479,98,121,59
TAS1R3,0,4,3,0,12,7,10,21,46,17,35,8
DVL1,250,450,209,123,971,972,1173,2122,4144,1018,871,405
