,Infection,Celltype,Modification,Batch,hours_after_treatment,strain,MOI,Instrument
Series4_A549_Mock_1,Mock,A549,None,Series4,9,None,0,TruSeq RNA Library Prep Kit v2
Series4_A549_Mock_2,Mock,A549,None,Series4,9,None,0,TruSeq RNA Library Prep Kit v2
Series4_A549_IAV_1,IAV,A549,None,Series4,9,H1N1,5,TruSeq RNA Library Prep Kit v2
Series4_A549_IAV_2,IAV,A549,None,Series4,9,H1N1,5,TruSeq RNA Library Prep Kit v2
Series9_NHBE_Mock_1,Mock,NHBE,None,Series9,12,None,0,TruSeq Stranded mRNA LP
Series9_NHBE_Mock_2,Mock,NHBE,None,Series9,12,None,0,TruSeq Stranded mRNA LP
Series9_NHBE_Mock_3,Mock,NHBE,None,Series9,12,None,0,TruSeq Stranded mRNA LP
Series9_NHBE_Mock_4,Mock,NHBE,None,Series9,12,None,0,TruSeq Stranded mRNA LP
Series9_NHBE_IAV_1,IAV,NHBE,None,Series9,12,H1N1,3,TruSeq Stranded mRNA LP
Series9_NHBE_IAV_2,IAV,NHBE,None,Series9,12,H1N1,3,TruSeq Stranded mRNA LP
Series9_NHBE_IAV_3,IAV,NHBE,None,Series9,12,H1N1,3,TruSeq Stranded mRNA LP
Series9_NHBE_IAV_4,IAV,NHBE,None,Series9,12,H1N1,3,TruSeq Stranded mRNA LP
