,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
DDX11L1,1,0,0,0,0,0,0,0,0,1,0,0,0
WASH7P,184,128,51,43,68,17,21,18,9,28,12,23,14
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,108,95,37,11,4,3,5,13,9,9,3,5,5
LOC100132287,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133331,127,93,25,16,9,10,24,31,10,24,20,18,23
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288069,7,12,4,3,0,6,8,6,5,10,7,17,12
LINC00115,38,24,13,6,0,13,10,8,6,23,11,13,10
FAM41C,0,0,0,1,0,0,0,0,0,0,0,0,1
SAMD11,2236,1470,466,264,935,420,687,150,96,104,325,260,212
NOC2L,2376,1627,634,515,1073,807,1152,1392,776,1325,1401,1530,1204
KLHL17,662,442,265,146,53,68,106,89,55,68,64,93,56
PLEKHN1,177,132,116,56,23,28,29,88,43,87,60,81,31
HES4,292,271,399,162,57,26,32,140,48,85,119,108,89
ISG15,959,698,5801,4196,76,20,25,1626,1094,1365,3183,2831,2572
AGRN,10407,7947,4762,2788,582,1655,2487,4909,2720,4175,2809,3430,2034
RNF223,1,1,1,0,0,0,0,1,0,1,0,0,0
C1orf159,452,314,202,111,188,93,126,125,74,112,90,141,81
