,X21591S2,X21731S2,X21671S2,X20921S2,X22131S2,X22461S2,X22171S2,X23591S2,X22511S2,X24061S2,X20811S2,X23441S2,X23851S2,X21941S2,X23671S2,X20551S2,X20681S2,X20771S1,X21111S1,X22001S2,X21601S2,X21721S2,X22191S2,X22891S2
0,6.883,6.977,6.358,7.0,7.276,5.248,6.629,5.524,4.087,4.392,6.267,5.129,8.422,6.375,5.7,7.229,6.508,7.119,5.781,6.409,8.044,4.248,5.672,7.443
1,6.109,5.358,5.858,4.755,6.066,5.555,5.044,6.285,3.807,3.907,6.0,3.585,7.539,5.781,5.248,7.022,5.492,6.392,5.0,5.248,5.907,3.322,5.087,7.0
2,4.585,4.248,3.322,4.907,5.0,3.7,4.807,4.087,2.0,2.322,3.807,3.585,5.672,4.644,4.392,4.907,3.907,4.644,3.7,3.807,5.883,,3.17,5.322
3,3.585,2.0,3.807,2.0,2.0,2.0,3.459,2.585,2.0,3.0,2.0,2.585,5.807,5.248,3.807,3.459,3.0,4.0,3.0,2.0,2.585,1.0,3.0,3.7
4,5.555,6.0,5.426,5.833,6.322,6.0,5.728,6.087,6.087,4.322,5.644,5.17,5.931,4.585,4.585,7.285,6.57,5.322,6.0,5.954,6.066,4.17,4.644,5.977
5,9.297,8.943,9.132,8.676,8.69,7.775,9.157,8.842,6.644,8.087,7.889,9.558,10.403,10.017,8.986,9.502,9.714,9.64,8.543,8.219,8.397,8.082,8.748,9.384
6,6.209,5.459,6.044,5.728,5.358,4.858,6.426,6.044,3.807,5.248,5.044,6.443,7.14,7.248,6.129,6.409,6.966,6.19,5.585,5.0,5.17,4.954,5.755,6.714
7,7.119,6.931,6.714,6.943,7.066,7.248,7.257,7.409,7.257,5.322,6.794,5.954,7.313,5.931,6.392,7.577,7.358,6.409,7.409,6.845,7.285,4.392,5.977,7.119
8,4.0,3.322,2.585,2.585,3.907,2.0,3.585,2.0,2.322,2.0,3.459,2.585,4.807,4.585,2.585,5.209,4.322,3.0,3.322,2.585,3.459,1.585,3.7,2.585
9,4.392,5.392,4.7,4.524,5.248,5.883,5.585,4.644,4.807,4.087,5.0,4.0,5.087,5.209,3.0,6.34,7.607,6.644,5.7,5.615,5.883,4.644,5.954,6.129
10,4.7,5.833,5.285,4.907,5.555,6.109,6.209,5.044,5.7,4.322,5.644,4.0,5.883,5.672,3.322,6.459,8.087,6.82,5.833,5.833,6.7,5.728,6.476,6.87
11,8.864,8.039,8.405,8.077,8.804,7.864,8.358,8.443,7.889,7.622,7.687,8.738,8.253,8.626,8.849,8.637,8.14,8.371,7.665,8.353,8.022,8.447,8.401,8.349
12,8.276,7.943,7.741,8.175,8.704,8.281,7.833,7.794,8.124,7.755,7.948,8.69,8.155,8.0,7.592,9.375,8.919,8.57,7.672,9.014,8.426,8.455,8.574,8.455
