Sample,samplename,Batch,category
X21591S2,21591S2,1,case
X21731S2,21731S2,1,case
X21671S2,21671S2,1,case
X20921S2,20921S2,2,case
X22131S2,22131S2,2,case
X22461S2,22461S2,2,case
X22171S2,22171S2,1,case
X23591S2,23591S2,1,case
X22511S2,22511S2,1,case
X24061S2,24061S2,1,case
X20811S2,20811S2,1,case
X23441S2,23441S2,2,case
X23851S2,23851S2,1,control
X21941S2,21941S2,1,control
X23671S2,23671S2,1,control
X20551S2,20551S2,2,control
X20681S2,20681S2,2,control
X20771S1,20771S1,2,control
X21111S1,21111S1,1,control
X22001S2,22001S2,2,control
X21601S2,21601S2,2,control
X21721S2,21721S2,2,control
X22191S2,22191S2,2,control
X22891S2,22891S2,2,control
